sex,birth_year,marital_status,religion,job_code,income,region_code
female,1983,1,2,,,1
male,2010,0,2,,,1
male,1945,1,1,254.0,,1
female,1953,1,1,,,1
female,1918,2,2,,,1
female,1946,2,2,521.0,,1
female,1947,3,2,,,1
male,2001,0,2,,,1
male,1926,1,1,,,1
female,1935,1,1,,,1
male,1944,1,2,,,1
female,1950,1,2,,,1
male,1978,5,2,320.0,600.0,1
female,1979,5,2,313.0,201.66,1
male,1981,5,2,442.0,68.0,1
female,1927,2,1,,,1
male,1973,5,1,221.0,365.3,1
male,1943,2,2,,,1
male,1970,1,1,873.0,280.0,1
female,1969,1,1,313.0,301.9,1
male,1999,0,1,,,1
male,1930,1,1,,,1
female,1932,1,1,,,1
female,1943,2,1,,,1
male,1979,5,1,721.0,,1
male,1942,1,1,241.0,,1
female,1943,1,1,,,1
male,1947,1,1,,,1
female,1948,1,1,,,1
female,1980,5,1,285.0,313.0,1
male,1963,1,1,773.0,,1
female,1961,1,1,422.0,50.0,1
male,1937,1,1,254.0,20.0,1
female,1937,1,1,,,1
male,1937,1,2,,,1
female,1943,1,2,,,1
male,1936,1,1,,,1
female,1939,1,1,,,1
female,1958,1,1,999.0,139.58,1
male,1988,5,1,530.0,150.0,1
male,1969,1,2,773.0,373.83,1
female,1971,1,2,,,1
female,2000,0,2,,,1
female,2002,0,2,,,1
female,1972,1,2,239.0,287.5,2
male,1979,1,2,221.0,250.0,2
female,2010,0,2,,,2
male,2012,0,2,,,2
female,1956,2,1,442.0,208.73,1
male,1982,5,1,442.0,270.3,1
male,1945,1,2,141.0,,1
female,1948,1,2,,,1
female,1954,3,1,521.0,95.0,2
male,1974,1,2,521.0,550.0,1
female,1974,1,2,442.0,,1
female,2005,0,2,,,1
male,1963,1,1,791.0,245.3,1
female,1964,1,1,421.0,20.0,1
female,1990,5,1,245.0,200.3,1
male,1991,5,1,,,1
female,1935,2,1,,,1
male,1950,1,1,,,1
female,1953,1,2,,,1
female,1987,1,2,,,1
male,1928,1,2,,,1
female,1930,1,2,,,1
female,1958,3,2,930.0,147.9,1
male,1984,5,2,922.0,163.0,1
male,1950,1,2,,,6
